date,city,temperature
2012-06-10,New York,72.6
2012-06-10,San Francisco,60
2012-06-10,Austin,82.9
2012-06-11,New York,69.2
2012-06-11,San Francisco,57.2
2012-06-11,Austin,86.8
2012-06-12,New York,66.9
2012-06-12,San Francisco,55.1
2012-06-12,Austin,85.3
2012-06-13,New York,66.7
2012-06-13,San Francisco,53.3
2012-06-13,Austin,76.9
2012-06-14,New York,67.7
2012-06-14,San Francisco,53.4
2012-06-14,Austin,84.5
2012-06-15,New York,68.5
2012-06-15,San Francisco,54.6
2012-06-15,Austin,84.4
2012-06-16,New York,67.5
2012-06-16,San Francisco,57
2012-06-16,Austin,83.8
2012-06-17,New York,64.2
2012-06-17,San Francisco,55.6
2012-06-17,Austin,82.5
2012-06-18,New York,61.7
2012-06-18,San Francisco,52.5
2012-06-18,Austin,82.9
2012-06-19,New York,66.4
2012-06-19,San Francisco,53.9
2012-06-19,Austin,82.5
2012-06-20,New York,77.9
2012-06-20,San Francisco,55.3
2012-06-20,Austin,81.3
2012-06-21,New York,88.3
2012-06-21,San Francisco,53.3
2012-06-21,Austin,80.8
2012-06-22,New York,82.2
2012-06-22,San Francisco,54.1
2012-06-22,Austin,81.7
2012-06-23,New York,77
2012-06-23,San Francisco,55.2
2012-06-23,Austin,83.9
2012-06-24,New York,75.4
2012-06-24,San Francisco,55.8
2012-06-24,Austin,85.5
2012-06-25,New York,70.9
2012-06-25,San Francisco,56.8
2012-06-25,Austin,87.2
2012-06-26,New York,65.9
2012-06-26,San Francisco,57.5
2012-06-26,Austin,88
2012-06-27,New York,73.5
2012-06-27,San Francisco,57.7
2012-06-27,Austin,89.6
2012-06-28,New York,77.4
2012-06-28,San Francisco,56.6
2012-06-28,Austin,86.7
2012-06-29,New York,79.6
2012-06-29,San Francisco,56.4
2012-06-29,Austin,85.3
2012-06-30,New York,84.2
2012-06-30,San Francisco,58.4
2012-06-30,Austin,81.7
2012-07-01,New York,81.8
2012-07-01,San Francisco,58.8
2012-07-01,Austin,78.5
2012-07-02,New York,82.5
2012-07-02,San Francisco,56.4
2012-07-02,Austin,83.1
2012-07-03,New York,80.2
2012-07-03,San Francisco,56.5
2012-07-03,Austin,83.1
2012-07-04,New York,77.8
2012-07-04,San Francisco,55.8
2012-07-04,Austin,84.5
2012-07-05,New York,86.1
2012-07-05,San Francisco,54.8
2012-07-05,Austin,84.6
2012-07-06,New York,79.9
2012-07-06,San Francisco,54.9
2012-07-06,Austin,84.2
2012-07-07,New York,83.5
2012-07-07,San Francisco,54.7
2012-07-07,Austin,86.7
2012-07-08,New York,81.5
2012-07-08,San Francisco,52.8
2012-07-08,Austin,84.3
2012-07-09,New York,77.8
2012-07-09,San Francisco,53.7
2012-07-09,Austin,83.7
2012-07-10,New York,76.1
2012-07-10,San Francisco,53.1
2012-07-10,Austin,77.1
2012-07-11,New York,76.3
2012-07-11,San Francisco,52.7
2012-07-11,Austin,77.4
2012-07-12,New York,75.8
2012-07-12,San Francisco,52
2012-07-12,Austin,80.6
2012-07-13,New York,77.2
2012-07-13,San Francisco,53.4
